list__dt_txt,list__main__temp,list__main__feels_like,list__main__temp_min,list__main__temp_max,list__main__pressure,list__main__sea_level,list__main__grnd_level,list__main__humidity,list__main__temp_kf,list__weather__id,list__weather__main,list__weather__description,list__rain__3h,list__weather__icon,list__clouds__all,list__wind__speed,list__wind__deg,list__sys__pod
1/12/2020 0:00,58.23,57.58,57.25,58.23,1012,1012,750,90,0.54,500,Rain,light rain,0.75,10n,80,4.09,319,n
1/12/2020 3:00,57.65,57.81,56.91,57.65,1015,1015,752,85,0.41,500,Rain,light rain,0.44,10n,64,1.48,64,n
1/12/2020 6:00,55.8,55.31,55.31,55.8,1013,1013,751,84,0.27,500,Rain,light rain,0.06,10n,51,1.52,341,n
1/12/2020 9:00,53.71,52.93,53.46,53.71,1012,1012,750,81,0.14,802,Clouds,scattered clouds,,03n,28,0.6,56,n
1/12/2020 12:00,55.08,53.37,55.08,55.08,1013,1013,750,74,0,801,Clouds,few clouds,,02d,19,1.79,94,d
1/12/2020 15:00,67.42,65.32,67.42,67.42,1015,1015,752,48,0,800,Clear,clear sky,,01d,0,2.53,14,d
1/12/2020 18:00,67.87,64.76,67.87,67.87,1011,1011,749,59,0,500,Rain,light rain,0.25,10d,25,7.2,340,d
1/12/2020 21:00,61.68,59.85,61.68,61.68,1009,1009,749,79,0,500,Rain,light rain,0.5,10d,88,6.08,312,d
1/13/2020 0:00,57.02,55.8,57.02,57.02,1011,1011,749,92,0,500,Rain,light rain,0.75,10n,62,4.76,326,n
1/13/2020 3:00,56.8,56.55,56.8,56.8,1014,1014,751,87,0,500,Rain,light rain,0.44,10n,48,2.08,69,n
1/13/2020 6:00,54.93,53.96,54.93,54.93,1013,1013,750,77,0,500,Rain,light rain,0.12,10n,44,0.87,163,n
1/13/2020 9:00,53.06,51.96,53.06,53.06,1012,1012,750,80,0,801,Clouds,few clouds,,02n,23,0.74,103,n
1/13/2020 12:00,54.77,53.98,54.77,54.77,1014,1014,751,78,0,803,Clouds,broken clouds,,04d,54,0.65,338,d
1/13/2020 15:00,64.78,63.05,64.78,64.78,1015,1015,752,57,0,802,Clouds,scattered clouds,,03d,28,2.84,352,d
1/13/2020 18:00,66.56,63.05,66.56,66.56,1011,1011,750,62,0,500,Rain,light rain,0.25,10d,40,7.96,323,d
1/13/2020 21:00,62.46,59.94,62.46,62.46,1009,1009,749,75,0,500,Rain,light rain,0.69,10d,92,6.91,302,d
1/14/2020 0:00,57.16,55.83,57.16,57.16,1011,1011,750,92,0,500,Rain,light rain,0.75,10n,70,5.06,323,n
1/14/2020 3:00,56.55,56.77,56.55,56.55,1014,1014,751,89,0,500,Rain,light rain,0.25,10n,71,1.48,336,n
1/14/2020 6:00,55.65,55.65,55.65,55.65,1013,1013,751,87,0,500,Rain,light rain,0.13,10n,75,1.07,53,n
1/14/2020 9:00,53.47,51.3,53.47,53.47,1012,1012,750,77,0,803,Clouds,broken clouds,,04n,54,2.42,125,n
1/14/2020 12:00,54.61,52.48,54.61,54.61,1013,1013,750,71,0,803,Clouds,broken clouds,,04d,69,1.88,129,d
1/14/2020 15:00,65.26,62.73,65.26,65.26,1014,1014,752,52,0,802,Clouds,scattered clouds,,03d,45,3.36,329,d
1/14/2020 18:00,66.33,62.74,66.33,66.33,1011,1011,750,64,0,500,Rain,light rain,0.38,10d,30,8.43,317,d
1/14/2020 21:00,61.74,58.69,61.74,61.74,1008,1008,749,77,0,500,Rain,light rain,1.06,10d,70,7.85,313,d
1/15/2020 0:00,56.68,55.18,56.68,56.68,1011,1011,750,90,0,500,Rain,light rain,0.88,10n,82,4.74,316,n
1/15/2020 3:00,56.12,55.45,56.12,56.12,1014,1014,751,90,0,500,Rain,light rain,0.38,10n,97,2.95,327,n
1/15/2020 6:00,55.51,54.86,55.51,55.51,1013,1013,750,88,0,500,Rain,light rain,0.19,10n,77,2.28,43,n
1/15/2020 9:00,53.49,52.29,53.49,53.49,1012,1012,750,81,0,801,Clouds,few clouds,,02n,17,1.28,115,n
1/15/2020 12:00,54.68,52.09,54.68,54.68,1013,1013,750,72,0,801,Clouds,few clouds,,02d,20,2.86,121,d
1/15/2020 15:00,66.76,64.78,66.76,66.76,1014,1014,751,48,0,800,Clear,clear sky,,01d,0,2.06,360,d
1/15/2020 18:00,68.31,64.54,68.31,68.31,1010,1010,749,58,0,800,Clear,clear sky,,01d,1,8.32,323,d
1/15/2020 21:00,63.46,60.33,63.46,63.46,1008,1008,748,73,0,500,Rain,light rain,0.81,10d,46,8.12,316,d
1/16/2020 0:00,57.15,56.52,57.15,57.15,1011,1011,750,89,0,500,Rain,light rain,0.63,10n,60,3.27,338,n
1/16/2020 3:00,56.59,56.7,56.59,56.59,1014,1014,752,85,0,500,Rain,light rain,0.38,10n,69,1.03,42,n
1/16/2020 6:00,55.15,54.55,55.15,55.15,1013,1013,751,80,0,500,Rain,light rain,0.19,10n,57,0.78,64,n
1/16/2020 9:00,53.65,52.65,53.65,53.65,1012,1012,749,81,0,800,Clear,clear sky,,01n,10,0.98,61,n
1/16/2020 12:00,55.44,52.75,55.44,55.44,1013,1013,751,71,0,801,Clouds,few clouds,,02d,18,3.18,123,d
1/16/2020 15:00,68.41,66.45,68.41,68.41,1014,1014,751,46,0,801,Clouds,few clouds,,02d,22,2.17,23,d
1/16/2020 18:00,69.33,66.7,69.33,69.33,1010,1010,749,56,0,802,Clouds,scattered clouds,,03d,29,6.29,341,d
1/16/2020 21:00,63.05,60.01,63.05,63.05,1008,1008,748,77,0,500,Rain,light rain,0.31,10d,49,8.57,313,d
